Automóvel,Descrição,Automático,Ano,Km,Local,Anunciante,Preço
FIAT ARGO,1.3 FIREFLY FLEX DRIVE MANUAL,N,2018/2018,56000 km,São Paulo - SP,Pessoa Física,R$ 57990
FIAT MOBI,1.0 FIREFLY FLEX DRIVE MANUAL,N,2017/2018,2390 km,São Paulo - SP,Pessoa Física,R$ 46500
NISSAN MARCH,1.0 SV 12V FLEX 4P MANUAL,N,2016/2017,20960 km,Itupeva - SP,Pessoa Física,R$ 43000
FIAT MOBI,1.0 EVO FLEX EASY MANUAL,N,2019/2020,18900 km,Guaíra - SP,Pessoa Física,R$ 39800
FORD KA,1.0 TI-VCT FLEX SE MANUAL,N,2017/2018,60000 km,São Paulo - SP,Pessoa Física,R$ 45413
FORD KA,1.0 TI-VCT FLEX SEL MANUAL,N,2015/2015,99600 km,Florianópolis - SC,Pessoa Física,R$ 45000
CHEVROLET ONIX,1.0 MPFI LT 8V FLEX 4P MANUAL,N,2014/2015,45000 km,Santo André - SP,Pessoa Física,R$ 41000
CHEVROLET ONIX,1.0 FLEX LT MANUAL,N,2020/2020,50000 km,Atibaia - SP,Pessoa Física,R$ 63000
CHEVROLET ONIX,1.0 TURBO FLEX LT AUTOMÁTICO,Y,2020/2021,1800 km,Wenceslau Braz - PR,Pessoa Física,R$ 83000
VOLKSWAGEN UP,1.0 MPI TAKE UP 12V FLEX 4P MANUAL,N,2019/2019,58000 km,Ibitinga - SP,Pessoa Física,R$ 44990
FIAT ARGO,1.0 FIREFLY FLEX DRIVE MANUAL,N,2019/2020,56000 km,São Paulo - SP,Pessoa Física,R$ 53000
CHEVROLET ONIX,1.0 TURBO FLEX PLUS LTZ MANUAL,N,2021/2021,35200 km,Pindamonhangaba - SP,Pessoa Física,R$ 74500
FIAT ARGO,1.0 FIREFLY FLEX DRIVE MANUAL,N,2018/2018,66500 km,Santo Antônio de Posse - SP,Pessoa Física,R$ 57000
PEUGEOT 208,1.2 ALLURE 12V FLEX 4P MANUAL,N,2016/2017,96000 km,Curitiba - PR,Pessoa Física,R$ 46800
VOLKSWAGEN UP,1.0 TSI MOVE UP 12V FLEX 4P MANUAL,N,2017/2018,62000 km,Londrina - PR,Pessoa Física,R$ 56000
CHEVROLET ONIX,1.0 TURBO FLEX PREMIER AUTOMÁTICO,Y,2021/2021,1500 km,Divinolândia de Minas - MG,Pessoa Física,R$ 88000
CHEVROLET ONIX,1.0 MPFI LS 8V FLEX 4P MANUAL,N,2015/2016,86000 km,São Paulo - SP,Pessoa Física,R$ 40000
VOLKSWAGEN CROSS UP,1.0 TSI 12V FLEX 4P MANUAL,N,2017/2018,59000 km,Itu - SP,Pessoa Física,R$ 57900
VOLKSWAGEN UP,1.0 170 TSI TOTAL FLEX CONNECT 4P MANUAL,N,2019/2020,39000 km,São João da Boa Vista - SP,Pessoa Física,R$ 75000
VOLKSWAGEN CROSS UP,1.0 TSI 12V FLEX 4P MANUAL,N,2018/2019,38500 km,São Paulo - SP,Pessoa Física,R$ 78000
FORD KA +,1.0 TI-VCT FLEX SE PLUS MANUAL,N,2014/2015,160000 km,Itaquaquecetuba - SP,Pessoa Física,R$ 39000
VOLKSWAGEN GOL,1.0 12V MPI TOTALFLEX 4P MANUAL,N,2019/2020,35000 km,São Paulo - SP,Pessoa Física,R$ 49791
CHEVROLET TRACKER,1.2 TURBO FLEX PREMIER AUTOMÁTICO,Y,2021/2021,100 km,Campinas - SP,Pessoa Física,R$ 184800
CHEVROLET JOY,1.0 SPE4 FLEX MANUAL,N,2020/2020,26000 km,Goiânia - GO,Pessoa Física,R$ 52000
VOLKSWAGEN UP,1.0 TSI MOVE UP 12V FLEX 4P MANUAL,N,2018/2019,53000 km,Jundiaí - SP,Pessoa Física,R$ 62000
FIAT ARGO,1.0 FIREFLY FLEX DRIVE MANUAL,N,2019/2020,41300 km,Tremembé - SP,Pessoa Física,R$ 57590
VOLKSWAGEN GOL,1.0 12V MPI TOTALFLEX TRENDLINE 4P MANUAL,N,2017/2018,110740 km,Uberlândia - MG,Pessoa Física,R$ 42800
HYUNDAI HB20,1.0 UNIQUE 12V FLEX 4P MANUAL,N,2019/2019,22000 km,São Paulo - SP,Pessoa Física,R$ 53900
CHEVROLET ONIX,1.0 TURBO FLEX PLUS PREMIER AUTOMÁTICO,Y,2020/2021,11500 km,Sorriso - MT,Pessoa Física,R$ 91500
VOLKSWAGEN CROSS UP,1.0 TSI 12V FLEX 4P MANUAL,N,2018/2018,71000 km,São Bernardo do Campo - SP,Pessoa Física,R$ 64990
CHEVROLET ONIX,1.4 MPFI LT 8V FLEX 4P MANUAL,N,2017/2018,47500 km,São Paulo - SP,Pessoa Física,R$ 53500
FIAT MOBI,1.0 FIREFLY FLEX DRIVE MANUAL,N,2017/2018,60000 km,Araxá - MG,Pessoa Física,R$ 39500
FORD KA,1.0 TI-VCT FLEX SE MANUAL,N,2020/2021,21500 km,Rio de Janeiro - RJ,Pessoa Física,R$ 53900
CHEVROLET ONIX,1.0 MPFI JOY 8V FLEX 4P MANUAL,N,2019/2019,92000 km,Franca - SP,Pessoa Física,R$ 47800
CHEVROLET ONIX,1.0 TURBO FLEX PREMIER AUTOMÁTICO,Y,2020/2021,13000 km,Dois Irmãos - RS,Pessoa Física,R$ 84900
FIAT MOBI,1.0 EVO FLEX LIKE. MANUAL,N,2018/2019,45300 km,São Paulo - SP,Pessoa Física,R$ 43300
VOLKSWAGEN UP,1.0 MPI TAKE UP 12V FLEX 4P MANUAL,N,2017/2018,94000 km,Nova Odessa - SP,Pessoa Física,R$ 43900
VOLKSWAGEN GOL,1.0 12V MPI TOTALFLEX CITY 4P MANUAL,N,2016/2017,71344 km,Recife - PE,Pessoa Física,R$ 41990
CHEVROLET ONIX,1.0 MPFI LT 8V FLEX 4P MANUAL,N,2017/2017,91000 km,Uberlândia - MG,Pessoa Física,R$ 45900
VOLKSWAGEN UP,1.0 TSI MOVE UP 12V FLEX 4P MANUAL,N,2017/2018,75000 km,Niterói - RJ,Pessoa Física,R$ 52000
VOLKSWAGEN UP,1.0 170 TSI TOTAL FLEX XTREME 4P MANUAL,N,2019/2020,37000 km,Guarulhos - SP,Pessoa Física,R$ 63990
CHEVROLET ONIX,1.0 TURBO FLEX LT AUTOMÁTICO,Y,2020/2020,14900 km,Conchal - SP,Pessoa Física,R$ 79990
CHEVROLET ONIX,1.0 TURBO FLEX PLUS LTZ AUTOMÁTICO,Y,2019/2020,21640 km,Magé - RJ,Pessoa Física,R$ 76000
RENAULT KWID,1.0 12V SCE FLEX OUTSIDER MANUAL,N,2019/2020,13000 km,Rio Claro - SP,Pessoa Física,R$ 51000
CHEVROLET ONIX,1.0 TURBO FLEX PREMIER AUTOMÁTICO,Y,2020/2020,16514 km,Itabira - MG,Pessoa Física,R$ 83900
VOLKSWAGEN UP,1.0 TSI MOVE UP 12V FLEX 4P MANUAL,N,2017/2018,67000 km,Santo André - SP,Pessoa Física,R$ 56000
FIAT MOBI,1.0 EVO FLEX TREKKING MANUAL,N,2021/2022,100 km,Recife - PE,Pessoa Física,R$ 57500
VOLKSWAGEN GOL,1.0 12V MPI TOTALFLEX 4P MANUAL,N,2019/2020,54000 km,Ribeirão Preto - SP,Pessoa Física,R$ 51900
PEUGEOT 208,1.2 ALLURE 12V FLEX 4P MANUAL,N,2016/2017,84000 km,Juiz de Fora - MG,Pessoa Física,R$ 45000
FORD KA,1.0 TI-VCT FLEX SE PLUS MANUAL,N,2019/2019,20150 km,São Paulo - SP,Pessoa Física,R$ 50500
CHEVROLET ONIX,1.0 MPFI LT 8V FLEX 4P MANUAL,N,2016/2017,86000 km,Arapongas - PR,Pessoa Física,R$ 46900
FORD KA,1.0 TI-VCT FLEX SE MANUAL,N,2019/2019,52000 km,Santana de Parnaíba - SP,Pessoa Física,R$ 46900
RENAULT KWID,1.0 12V SCE FLEX INTENSE MANUAL,N,2021/2022,300 km,São Bernardo do Campo - SP,Pessoa Física,R$ 58900
CHEVROLET ONIX,1.0 MPFI JOY 8V FLEX 4P MANUAL,N,2017/2018,73000 km,São Vicente - SP,Pessoa Física,R$ 43990
CHEVROLET ONIX,1.0 MPFI LT 8V FLEX 4P MANUAL,N,2016/2016,88000 km,São Paulo - SP,Pessoa Física,R$ 41000
VOLKSWAGEN UP,1.0 170 TSI TOTAL FLEX XTREME 4P MANUAL,N,2019/2020,35685 km,Santo André - SP,Pessoa Física,R$ 62000
FORD KA +,1.0 TI-VCT FLEX SE MANUAL,N,2018/2018,77000 km,Mirassol - SP,Pessoa Física,R$ 44800
VOLKSWAGEN UP,1.0 170 TSI TOTAL FLEX XTREME 4P MANUAL,N,2019/2020,32000 km,Goiânia - GO,Pessoa Física,R$ 67900
FORD KA,1.0 TI-VCT FLEX SE MANUAL,N,2016/2017,178000 km,Jacareí - SP,Pessoa Física,R$ 39500
RENAULT KWID,1.0 12V SCE FLEX ZEN MANUAL,N,2019/2020,40000 km,Ourinhos - SP,Pessoa Física,R$ 43400
CHEVROLET PRISMA,1.4 MPFI LT 8V FLEX 4P MANUAL,N,2017/2018,24000 km,São Paulo - SP,Pessoa Física,R$ 56000
HYUNDAI HB20,1.0 UNIQUE 12V FLEX 4P MANUAL,N,2018/2019,40614 km,São Paulo - SP,Pessoa Física,R$ 52900
FORD KA +,1.0 TI-VCT FLEX SE MANUAL,N,2017/2018,100000 km,Sorocaba - SP,Pessoa Física,R$ 44100
FIAT ARGO,1.3 FIREFLY FLEX TREKKING MANUAL,N,2020/2020,20000 km,Santos - SP,Pessoa Física,R$ 69000
CHEVROLET ONIX,1.0 MPFI LT 8V FLEX 4P MANUAL,N,2017/2018,53500 km,Bragança Paulista - SP,Pessoa Física,R$ 51490
HYUNDAI HB20,1.0 UNIQUE 12V FLEX 4P MANUAL,N,2018/2019,60000 km,Rio Verde - GO,Pessoa Física,R$ 52000
FORD KA,1.0 TI-VCT FLEX SE MANUAL,N,2018/2018,17820 km,Bauru - SP,Pessoa Física,R$ 38500
NISSAN MARCH,1.0 S 12V FLEX 4P MANUAL,N,2016/2016,52000 km,Rio de Janeiro - RJ,Pessoa Física,R$ 29990
FIAT ARGO,1.0 FIREFLY FLEX MANUAL,N,2019/2019,25900 km,São Paulo - SP,Pessoa Física,R$ 47500
CHEVROLET ONIX,1.0 MPFI LT 8V FLEX 4P MANUAL,N,2019/2019,22000 km,Rio de Janeiro - RJ,Pessoa Física,R$ 41000
CHEVROLET ONIX,1.0 MPFI LT 8V FLEX 4P MANUAL,N,2019/2019,31000 km,Campo Grande - MS,Pessoa Física,R$ 46500
CHEVROLET ONIX,1.0 TURBO FLEX LTZ AUTOMÁTICO,Y,2019/2020,18000 km,Boituva - SP,Pessoa Física,R$ 66470
CHEVROLET ONIX,1.0 MPFI LT 8V FLEX 4P MANUAL,N,2014/2015,70100 km,Belo Jardim - PE,Pessoa Física,R$ 34690
FORD KA,1.0 TI-VCT FLEX SE MANUAL,N,2017/2018,28300 km,Rio de Janeiro - RJ,Pessoa Física,R$ 38200
FORD KA,1.0 TI-VCT FLEX SEL MANUAL,N,2014/2015,78000 km,Londrina - PR,Pessoa Física,R$ 35999
RENAULT KWID,1.0 12V SCE FLEX ZEN MANUAL,N,2019/2020,23000 km,Jijoca de Jericoacoara - CE,Pessoa Física,R$ 36000
VOLKSWAGEN GOL,1.6 MSI TOTALFLEX COMFORTLINE 4P MANUAL,N,2016/2017,25000 km,São Paulo - SP,Pessoa Física,R$ 45000
FIAT MOBI,1.0 EVO FLEX EASY ON MANUAL,N,2016/2017,40000 km,Foz do Iguaçu - PR,Pessoa Física,R$ 33000
HYUNDAI HB20,1.0 UNIQUE 12V FLEX 4P MANUAL,N,2018/2019,30000 km,Petrópolis - RJ,Pessoa Física,R$ 46000
CHEVROLET ONIX,1.0 TURBO FLEX PLUS PREMIER AUTOMÁTICO,Y,2019/2020,21770 km,Jundiaí - SP,Pessoa Física,R$ 78000
CHEVROLET PRISMA,1.4 MPFI LTZ 8V FLEX 4P AUTOMÁTICO,Y,2017/2018,47000 km,Rio de Janeiro - RJ,Pessoa Física,R$ 58900
FORD KA +,1.0 TI-VCT FLEX SE MANUAL,N,2018/2019,26200 km,São Paulo - SP,Pessoa Física,R$ 46500
NISSAN MARCH,1.0 SV 12V FLEX 4P MANUAL,N,2017/2017,66190 km,São João de Meriti - RJ,Pessoa Física,R$ 37900
CHEVROLET ONIX,1.0 TURBO FLEX PLUS PREMIER AUTOMÁTICO,Y,2020/2020,13540 km,Rio de Janeiro - RJ,Pessoa Física,R$ 76500
CHEVROLET ONIX,1.0 TURBO FLEX PREMIER AUTOMÁTICO,Y,2020/2020,5300 km,Goiânia - GO,Pessoa Física,R$ 77000
FORD KA,1.0 TI-VCT FLEX SE MANUAL,N,2017/2018,45000 km,Campinas - SP,Pessoa Física,R$ 39000
FORD KA,1.0 TI-VCT FLEX SE SEDAN MANUAL,N,2019/2020,14650 km,Belo Horizonte - MG,Pessoa Física,R$ 47900
HYUNDAI HB20,1.0 COMFORT PLUS 12V FLEX 4P MANUAL,N,2018/2019,39100 km,São Paulo - SP,Pessoa Física,R$ 53900
CHEVROLET PRISMA,1.0 MPFI JOY 8V FLEX 4P MANUAL,N,2018/2018,147467 km,Niterói - RJ,Pessoa Física,R$ 38000
FORD KA,1.0 TI-VCT FLEX SE MANUAL,N,2018/2018,54500 km,Cotia - SP,Pessoa Física,R$ 39900
CHEVROLET ONIX,1.0 MPFI LT 8V FLEX 4P MANUAL,N,2018/2018,30000 km,São Paulo - SP,Pessoa Física,R$ 48880
BMW 330e,2.0 16V TURBO HÍBRIDO M SPORT AUTOMÁTICO,Y,2020/2020,7000 km,São Paulo - SP,Pessoa Física,R$ 315000
NISSAN MARCH,1.0 SV 12V FLEX 4P MANUAL,N,2015/2016,78664 km,São Paulo - SP,Pessoa Física,R$ 36000
FORD KA,1.0 TI-VCT FLEX SE MANUAL,N,2017/2018,50000 km,Rio de Janeiro - RJ,Pessoa Física,R$ 40000
FORD KA,1.0 TI-VCT FLEX SE MANUAL,N,2020/2020,74742 km,São Paulo - SP,Pessoa Física,R$ 49000
FIAT ARGO,1.3 FIREFLY FLEX DRIVE MANUAL,N,2017/2018,67000 km,São Vicente - SP,Pessoa Física,R$ 50000
VOLKSWAGEN GOL,1.0 12V MPI TOTALFLEX 4P MANUAL,N,2019/2020,34500 km,Belo Horizonte - MG,Pessoa Física,R$ 44900
CHEVROLET ONIX,1.0 MPFI LT 8V FLEX 4P MANUAL,N,2018/2018,86000 km,Guarulhos - SP,Pessoa Física,R$ 44000
NISSAN MARCH,1.0 SV 12V FLEX 4P MANUAL,N,2019/2019,32500 km,Santos - SP,Pessoa Física,R$ 46500
CHEVROLET ONIX,1.0 MPFI LT 8V FLEX 4P MANUAL,N,2016/2016,222000 km,Sumaré - SP,Pessoa Física,R$ 31000
RENAULT KWID,1.0 12V SCE FLEX ZEN MANUAL,N,2018/2018,68000 km,São João de Meriti - RJ,Pessoa Física,R$ 35900
CHEVROLET ONIX,1.0 TURBO FLEX PLUS LTZ MANUAL,N,2020/2021,3800 km,São Paulo - SP,Pessoa Física,R$ 77000
CHEVROLET TRACKER,1.2 TURBO FLEX PREMIER AUTOMÁTICO,Y,2020/2021,4000 km,São Paulo - SP,Pessoa Física,R$ 139000
FIAT MOBI,1.0 FIREFLY FLEX DRIVE MANUAL,N,2018/2018,48000 km,Belford Roxo - RJ,Pessoa Física,R$ 37500
CHEVROLET ONIX,1.0 MPFI LT 8V FLEX 4P MANUAL,N,2014/2015,145000 km,São Paulo - SP,Pessoa Física,R$ 36500
VOLKSWAGEN UP,1.0 170 TSI TOTAL FLEX XTREME 4P MANUAL,N,2021/2021,7600 km,Taboão da Serra - SP,Pessoa Física,R$ 74900
RENAULT KWID,1.0 12V SCE FLEX ZEN MANUAL,N,2018/2018,19500 km,São Paulo - SP,Pessoa Física,R$ 40500
FORD KA,1.0 TI-VCT FLEX SE PLUS MANUAL,N,2018/2019,35957 km,Sorocaba - SP,Pessoa Física,R$ 45900
FIAT ARGO,1.3 FIREFLY FLEX TREKKING MANUAL,N,2022/2022,900 km,São Paulo - SP,Pessoa Física,R$ 78000
CHEVROLET ONIX,1.0 TURBO FLEX PREMIER AUTOMÁTICO,Y,2019/2020,16000 km,Itatiba - SP,Pessoa Física,R$ 83500
CHEVROLET ONIX,1.0 MPFI JOY 8V FLEX 4P MANUAL,N,2018/2018,45000 km,Belo Horizonte - MG,Pessoa Física,R$ 42900
CHEVROLET TRACKER,1.2 TURBO FLEX PREMIER AUTOMÁTICO,Y,2020/2021,7520 km,Mogi das Cruzes - SP,Pessoa Física,R$ 132900
FORD KA,1.0 TI-VCT FLEX SE PLUS SEDAN MANUAL,N,2019/2020,29810 km,São Paulo - SP,Pessoa Física,R$ 49700
BMW 330e,2.0 16V TURBO HÍBRIDO M SPORT AUTOMÁTICO,Y,2020/2020,6400 km,Belo Horizonte - MG,Pessoa Física,R$ 314900
RENAULT KWID,1.0 12V SCE FLEX ZEN MANUAL,N,2017/2018,45000 km,São Paulo - SP,Pessoa Física,R$ 37880
VOLKSWAGEN UP,1.0 TSI MOVE UP 12V FLEX 4P MANUAL,N,2018/2019,25600 km,Boituva - SP,Pessoa Física,R$ 59900
FIAT ARGO,1.0 FIREFLY FLEX DRIVE MANUAL,N,2018/2018,88000 km,Guapiaçu - SP,Pessoa Física,R$ 51890
RENAULT KWID,1.0 12V SCE FLEX INTENSE MANUAL,N,2019/2020,20000 km,Rio de Janeiro - RJ,Pessoa Física,R$ 42900
VOLKSWAGEN UP,1.0 MPI MOVE UP 12V FLEX 4P MANUAL,N,2017/2018,54301 km,São Paulo - SP,Pessoa Física,R$ 47455
CHEVROLET ONIX,1.0 TURBO FLEX LTZ AUTOMÁTICO,Y,2019/2020,7000 km,São Paulo - SP,Pessoa Física,R$ 80000
VOLKSWAGEN GOL,1.0 12V MPI TOTALFLEX 4P MANUAL,N,2018/2019,24200 km,Atibaia - SP,Pessoa Física,R$ 44500
HYUNDAI CRETA,2.0 16V FLEX PRESTIGE AUTOMÁTICO,Y,2017/2017,66220 km,Guarulhos - SP,Loja,R$ 92990
CHEVROLET TRACKER,1.4 16V TURBO FLEX LT AUTOMÁTICO,Y,2017/2018,28906 km,São Paulo - SP,Loja,R$ 88900
RENAULT CAPTUR,1.6 16V SCE FLEX LIFE X-TRONIC,Y,2018/2018,29000 km,Jundiaí - SP,Loja,R$ 76900
VOLKSWAGEN T-CROSS,1.0 200 TSI TOTAL FLEX AUTOMÁTICO,Y,2020/2020,10300 km,Santos - SP,Concessionária,R$ 105990
CHERY TIGGO 5x,1.5 VVT TURBO iFLEX TXS DCT,Y,2019/2020,12600 km,São Paulo - SP,Loja,R$ 112890
TOYOTA COROLLA CROSS,2.0 VVT-IE FLEX XRE DIRECT SHIFT,Y,2021/2022,900 km,Curitiba - PR,Concessionária,R$ 162900
JEEP RENEGADE,1.8 16V FLEX SPORT 4P MANUAL,N,2017/2017,47000 km,São Paulo - SP,Loja,R$ 70900
FORD ECOSPORT,1.5 TI-VCT FLEX FREESTYLE AUTOMÁTICO,Y,2020/2020,8258 km,São Paulo - SP,Loja,R$ 83400
FORD ECOSPORT,1.5 TI-VCT FLEX SE AUTOMÁTICO,Y,2021/2021,3000 km,São Paulo - SP,Loja,R$ 91900
HONDA HR-V,1.8 16V FLEX EX 4P AUTOMÁTICO,Y,2015/2016,95000 km,Valinhos - SP,Loja,R$ 85990
PEUGEOT 2008,1.6 16V FLEX GRIFFE 4P AUTOMÁTICO,Y,2019/2019,23000 km,Santos - SP,Loja,R$ 79990
CHERY TIGGO 2,1.5 MPFI 16V FLEX LOOK 4P AUTOMÁTICO,Y,2020/2020,1750 km,Bauru - SP,Loja,R$ 75900
CHERY TIGGO 5x,1.5 VVT TURBO iFLEX T DCT,Y,2019/2020,7800 km,Rio de Janeiro - RJ,Loja,R$ 98900
FIAT DOBLÒ,1.8 MPI ESSENCE 7L 16V FLEX 4P MANUAL,N,2019/2020,52014 km,Jaú - SP,Concessionária,R$ 71900
JEEP RENEGADE,1.8 16V FLEX LIMITED 4P AUTOMÁTICO,Y,2019/2020,21327 km,São Paulo - SP,Loja,R$ 107890
HYUNDAI CRETA,2.0 16V FLEX PRESTIGE AUTOMÁTICO,Y,2017/2017,54034 km,São Paulo - SP,Loja,R$ 91890
HYUNDAI TUCSON,2.0 MPFI GLS 16V 143CV 2WD GASOLINA 4P AUTOMÁTICO,Y,2009/2010,152052 km,São Paulo - SP,Loja,R$ 38900
FORD ECOSPORT,1.6 SE 16V FLEX 4P MANUAL,N,2016/2017,22655 km,Rio de Janeiro - RJ,Loja,R$ 64980
HONDA HR-V,1.8 16V FLEX EXL 4P AUTOMÁTICO,Y,2016/2016,72191 km,São Paulo - SP,Loja,R$ 88890
RENAULT DUSTER,1.6 16V SCE FLEX DYNAMIQUE X-TRONIC,Y,2018/2019,44376 km,São Paulo - SP,Concessionária,R$ 71500
JEEP RENEGADE,1.8 16V FLEX SPORT 4P MANUAL,N,2017/2018,76000 km,São Paulo - SP,Loja,R$ 71900
FORD ECOSPORT,1.5 TI-VCT FLEX FREESTYLE AUTOMÁTICO,Y,2017/2018,44000 km,Cerquilho - SP,Loja,R$ 69900
RENAULT LOGAN,1.0 EXPRESSION 16V FLEX 4P MANUAL,N,2010/2011,92500 km,Campo Grande - MS,Loja,R$ 23500
FORD ECOSPORT,1.5 TI-VCT FLEX SE DIRECT AUTOMÁTICO,Y,2019/2019,38000 km,Paulicéia - SP,Loja,R$ 75000
RENAULT DUSTER,2.0 DYNAMIQUE 4X2 16V FLEX 4P AUTOMÁTICO,Y,2016/2017,44200 km,Timbó - SC,Loja,R$ 66800
FORD ECOSPORT,1.5 TI-VCT FLEX SE AUTOMÁTICO,Y,2018/2019,63000 km,Valinhos - SP,Concessionária,R$ 74990
VOLKSWAGEN T-CROSS,1.0 200 TSI TOTAL FLEX AUTOMÁTICO,Y,2020/2020,13000 km,Blumenau - SC,Concessionária,R$ 111900
HYUNDAI CRETA,2.0 16V FLEX SPORT AUTOMÁTICO,Y,2018/2019,27900 km,Recife - PE,Loja,R$ 102900
RENAULT LOGAN,1.0 12V SCE FLEX AUTHENTIQUE MANUAL,N,2018/2019,30819 km,Campinas - SP,Loja,R$ 44900
JEEP RENEGADE,2.0 16V TURBO DIESEL SPORT 4P 4X4 AUTOMÁTICO,Y,2017/2017,58749 km,São Paulo - SP,Loja,R$ 104890
VOLKSWAGEN NIVUS,1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO,Y,2021/2021,3800 km,Juiz de Fora - MG,Loja,R$ 121900
CHEVROLET COBALT,1.8 MPFI LTZ 8V FLEX 4P AUTOMÁTICO,Y,2014/2015,72369 km,Juiz de Fora - MG,Loja,R$ 44900
TOYOTA ETIOS,1.5 X PLUS SEDAN 16V FLEX 4P AUTOMÁTICO,Y,2019/2019,36000 km,Joinville - SC,Loja,R$ 66900
CHEVROLET COBALT,1.8 MPFI ELITE 8V FLEX 4P AUTOMÁTICO,Y,2017/2017,19650 km,Curitiba - PR,Loja,R$ 64990
HONDA HR-V,1.8 16V FLEX EX 4P AUTOMÁTICO,Y,2017/2018,59355 km,Catanduva - SP,Loja,R$ 99900
RENAULT DUSTER,2.0 DYNAMIQUE 4X2 16V FLEX 4P MANUAL,N,2012/2013,74000 km,Praia Grande - SP,Loja,R$ 47900
NISSAN LIVINA,1.8 SL 16V FLEX 4P AUTOMÁTICO,Y,2011/2012,84360 km,Gravataí - RS,Loja,R$ 30900
HONDA HR-V,1.8 16V FLEX EXL 4P AUTOMÁTICO,Y,2015/2016,53000 km,Criciúma - SC,Loja,R$ 89900
CHEVROLET SPIN,1.8 PREMIER 8V FLEX 4P AUTOMÁTICO,Y,2019/2020,43544 km,Recife - PE,Loja,R$ 87180
NISSAN KICKS,1.6 16V FLEXSTART SENSE MANUAL,N,2021/2022,500 km,Sete Lagoas - MG,Concessionária,R$ 95900
CHERY TIGGO 5x,1.5 VVT TURBO iFLEX TXS DCT,Y,2019/2020,19586 km,Curitiba - PR,Concessionária,R$ 114900
VOLKSWAGEN SPACE CROSS,1.6 MI 8V FLEX 4P MANUAL,N,2013/2014,93000 km,Campinas - SP,Loja,R$ 49990
CHEVROLET COBALT,1.4 MPFI LT 8V FLEX 4P MANUAL,N,2014/2014,139000 km,Sorocaba - SP,Loja,R$ 39900
CHEVROLET SPIN,1.8 ACTIV 8V FLEX 4P AUTOMÁTICO,Y,2019/2020,14428 km,São José dos Campos - SP,Concessionária,R$ 92990
FIAT DOBLÒ,1.8 MPI ESSENCE 7L 16V FLEX 4P MANUAL,N,2019/2020,59000 km,São Paulo - SP,Loja,R$ 75790
HONDA HR-V,1.8 16V FLEX EXL 4P AUTOMÁTICO,Y,2021/2021,10600 km,Piedade - SP,Loja,R$ 139900
CHEVROLET SPIN,1.8 LT 8V FLEX 4P MANUAL,N,2021/2022,0 km,Bauru - SP,Loja,R$ 93800
CHEVROLET SPIN,1.8 LT 8V FLEX 4P AUTOMÁTICO,Y,2013/2014,102600 km,Jundiaí - SP,Loja,R$ 44900
VOLKSWAGEN NIVUS,1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO,Y,2021/2021,0 km,Americana - SP,Loja,R$ 128000
JEEP RENEGADE,1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO,Y,2016/2016,78313 km,Santos - SP,Loja,R$ 77990
HONDA HR-V,1.8 16V FLEX LX 4P AUTOMÁTICO,Y,2016/2016,92000 km,Piracicaba - SP,Loja,R$ 81000
CITROËN AIRCROSS,1.6 GLX 16V FLEX 4P MANUAL,N,2011/2011,144176 km,Jundiaí - SP,Loja,R$ 34900
JEEP RENEGADE,1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO,Y,2015/2016,112000 km,São João da Boa Vista - SP,Loja,R$ 77900
VOLKSWAGEN SPACEFOX,1.6 MI 8V FLEX 4P MANUAL,N,2015/2015,127745 km,São Paulo - SP,Loja,R$ 43490
HYUNDAI TUCSON,2.0 MPFI GLS 16V 143CV 2WD GASOLINA 4P AUTOMÁTICO,Y,2010/2011,150000 km,Osasco - SP,Loja,R$ 39900
VOLKSWAGEN NIVUS,1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO,Y,2021/2021,0 km,São Paulo - SP,Loja,R$ 126900
FORD ECOSPORT,1.6 SE 16V FLEX 4P POWERSHIFT,Y,2016/2017,151000 km,Sorocaba - SP,Loja,R$ 63749
VOLKSWAGEN SPACE CROSS,1.6 MI 8V FLEX 4P MANUAL,N,2012/2013,97227 km,Pato Branco - PR,Loja,R$ 44999
JEEP RENEGADE,1.8 16V FLEX SPORT 4P AUTOMÁTICO,Y,2015/2016,64300 km,Natal - RN,Loja,R$ 72900
CHEVROLET SPIN,1.8 LTZ 8V FLEX 4P AUTOMÁTICO,Y,2018/2019,28609 km,Curitiba - PR,Loja,R$ 85999
TOYOTA ETIOS,1.5 X SEDAN 16V FLEX 4P MANUAL,N,2019/2020,46793 km,Campinas - SP,Loja,R$ 64390
TOYOTA COROLLA CROSS,2.0 VVT-IE FLEX XRE DIRECT SHIFT,Y,2021/2022,150 km,Brasília - DF,Loja,R$ 177900
SUZUKI VITARA,1.6 16V GASOLINA 4YOU AUTOMÁTICO,Y,2019/2020,39000 km,Joinville - SC,Concessionária,R$ 119990
TOYOTA COROLLA CROSS,1.8 VVT-I HYBRID FLEX XRV CVT,Y,2021/2022,0 km,São Paulo - SP,Loja,R$ 186880
VOLKSWAGEN NIVUS,1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO,Y,2021/2021,0 km,Santos - SP,Loja,R$ 127990
